YEAR_WEEK,PERIOD,DATE,RED_BULL_sales_litres,RED_BULL_DWD,RED_BULL_price,RED_BULL_pct_vol_promo,RED_BULL_vol_deal,COMPETITOR_sales_litres,COMPETITOR_DWD,COMPETITOR_price,COMPETITOR_pct_vol_promo,COMPETITOR_vol_deal,ConsAct_Total,CANS_SAMPLED_PRODUCTHIERARCHY,CANS_SEEDED_PRODUCTHIERARCHY,paid_grp_tv,paid_imp_disp,paid_imp_sem,paid_imp_social,paid_imp_webtv,paid_spend_cinema,paid_spend_ooh,paid_imp_social_camp1,paid_imp_social_camp2,paid_imp_social_camp3,paid_imp_social_camp4,paid_imp_social_camp5,paid_imp_webtv_camp1,paid_imp_webtv_camp2,paid_imp_webtv_camp3,Earned_sports_athletes_contacts,Earned_motorsports_athletes_contacts,managed_engvdv_culture,managed_engvdv_motorsports,managed_engvdv_sports,owned_sessions
2021-W01,1,1970-01-01 00:00:00.000043470,263772.6919148379,70.8569655013243,1.0381532351808571,29.273687659552266,11119.964666666667,482632.3828754138,61.8953447233085,0.49901663323211143,37.61957191216806,67795.34933333333,0.0,51.47186864444827,0.0,0.0,0.0,4706.8791998121305,416706.29181300005,384543.143058,0.0,1402.4958374129146,336199.290294,0.0,80507.00151900001,0.0,0.0,384543.143058,0.0,0.0,1900117.0939011753,1615476.1853071048,1.3719143203579154,1.0245231365767047,1.421238739672979,0.006606115318424342
2021-W02,2,1970-01-01 00:00:00.000043477,270893.7282404301,72.5369573848651,1.0458590764354214,27.264805586793,11637.553999999998,498765.2453810309,61.4223983693642,0.4991970555679236,31.839706068069802,61610.41333333333,0.0,47.33931421950085,0.0,0.0,0.0,5271.15890955149,573223.800939,3687508.209859857,2096.6328610161754,0.0,483020.41652100004,0.0,90203.384418,0.0,0.0,3687508.209859857,0.0,0.0,858775.584926783,1322696.2093505,0.6967683129673508,0.6868365441968937,0.9369029781791833,0.008059443751891823
2021-W03,3,1970-01-01 00:00:00.000043484,283590.5023092276,74.2702090094903,1.0099636192132715,33.32067838548253,16579.477333333332,513273.96485697577,55.1120082206971,0.4852166547557393,32.38991387905313,68221.81533333333,16.015898815642014,44.77414481360766,41.22414445815284,0.0,0.0,6203.143567354686,288920.017797,31261.494417,4153.28356336576,0.0,263379.251883,0.0,25540.765914000003,0.0,0.0,31261.494417,0.0,0.0,190535.06147298298,1768309.797410637,1.0502446182591543,0.7134266960195734,1.133331957668931,0.007093550259750468
2021-W04,4,1970-01-01 00:00:00.000043491,289841.1875493198,75.3858558373441,0.9759930751456143,41.15908716746333,23416.27666666667,490185.12829338264,53.015130884422,0.5024538908007535,30.9029494318688,58263.65666666667,194.90312389123525,107.98413195331813,121.54555662638812,0.0,0.0,3890.9813469161527,563744.652612,0.0,3304.097895773612,0.0,535267.29405,0.0,28477.358562,0.0,0.0,0.0,0.0,0.0,3298562.8541005407,21276.53979674657,0.3215770320642366,0.6842947237991845,1.689893118887845,0.005791973635674295
2021-W05,5,1970-01-01 00:00:00.000043498,295642.2060531953,74.2412017901084,1.0243282687723785,33.08606226854547,18206.053333333333,536770.5152111095,60.9057348735583,0.49714965396212074,31.889786925152332,74810.22333333334,167.29919329039924,48.65664008463764,68.8205455896817,0.0,0.0,5636.224028625404,426961.464846,119749.90349400001,0.0,0.0,369617.42672700004,0.0,57344.038119000004,0.0,0.0,119749.90349400001,0.0,0.0,1136004.9718237806,391594.10558969865,0.7792405413363457,1.2198895237484035,1.049144910302875,0.007154691334739582
2021-W06,6,1970-01-01 00:00:00.000043505,270440.2022629032,72.3560291166675,1.0675987368292856,30.182551103523803,12798.328,515006.19607923157,63.6779278102167,0.4900821006812193,42.0901342428908,90685.72933333334,325.65639395825696,40.24495161444382,60.77613859915784,0.0,0.0,2933.675923720526,579608.665257,259592.69625600002,0.0,0.0,495174.42909600004,0.0,84434.23616100001,0.0,0.0,259592.69625600002,0.0,0.0,1388668.2687620325,748473.1567930516,0.7316260264860213,0.4734735787981388,1.283285823757371,0.006560047804859118
2021-W07,7,1970-01-01 00:00:00.000043512,290888.9599142601,74.4449430463156,0.9549173672470787,32.733739883428264,12927.256666666666,499229.42521449993,63.449477027083205,0.49606593323048215,39.091140676514,80308.75866666668,513.265552437522,56.49750676060072,4.136709520028589,0.0,1058039.1703776172,2810.695168765314,597742.517451,508215.046626,5541.48887152014,0.0,452107.02087600005,0.0,145635.496575,0.0,0.0,508215.046626,0.0,0.0,459933.36925784906,1116132.5807594992,0.42330729849327603,0.4788910778593738,1.2786709343596956,0.006226566429087352
2021-W08,8,1970-01-01 00:00:00.000043519,305105.51617432287,75.2134394906676,0.9094648957885072,44.7117657621828,19690.053333333333,478883.16946829524,61.202844362221995,0.5038654447570143,39.774896199735466,71788.40066666667,381.6782074709183,46.0950333658429,156.28381769433696,0.0,2115343.3561465014,1898.3246168421583,524267.50371900003,1747584.736677,3263.124693222256,0.0,429445.92168300005,0.0,94821.582036,0.0,0.0,1747584.736677,0.0,0.0,2202835.438131854,2501066.234058601,1.4154016863975987,0.3311290845233341,1.3464616381518115,0.009323082423620161
2021-W09,9,1970-01-01 00:00:00.000043526,302824.41612261056,74.0689731494824,1.0168610526438715,37.19255222440473,19225.796,518046.934167166,63.856875812662096,0.5060844428032578,34.99039620644974,69373.40066666667,233.22170357520835,129.00966889356823,592.3455193084673,0.0,5970525.131116149,2593.051643364223,621153.46851,3903807.3329160004,0.0,0.0,552902.5536420001,0.0,68250.914868,0.0,0.0,1756760.28006,0.0,2147047.052856,610529.6806003493,7841103.121050829,1.3919025201060817,0.47312255634901085,1.7706570191897706,0.008184435755609223
2021-W10,10,1970-01-01 00:00:00.000043533,284871.47628360405,73.1679820663897,1.0473020476208144,31.7130698808968,14292.248,530663.8964542435,61.838414268373896,0.4895331572648171,40.354119310789535,86926.208,118.59804348034356,62.38762226897457,53.882009067545944,0.0,8997266.48308072,3191.8364771036563,570285.899649,3939143.2842,0.0,7245.370189554491,527666.7013140001,0.0,42619.198335,0.0,0.0,2031406.939563,0.0,1907736.3446370002,803176.7709451526,3916935.669534557,1.4356615107381696,0.9731793092377894,1.8219775143775871,0.007572516908141795
